1989년	0	99	123	81	38	36	4	34	24	26	43	14	8	5	12	28	15	0	5	20	19	6	1	20
사태	99	0	44	17	43	32	1	24	7	40	10	11	4	7	24	7	5	0	7	3	4	0	3	24
시위	123	44	0	118	16	88	6	21	48	24	16	11	4	4	13	23	7	0	4	37	33	5	0	20
민주화	81	17	118	0	13	43	0	22	15	17	13	8	4	1	7	27	41	0	3	32	17	8	2	19
이후	38	43	16	13	0	11	1	6	4	13	12	3	1	3	2	7	2	0	1	4	2	0	1	6
홍콩	36	32	88	43	11	0	2	1	15	5	9	0	2	1	4	3	8	0	2	9	14	0	0	6
시진핑	4	1	6	0	1	2	0	2	9	4	3	0	4	5	2	1	0	15	0	0	1	0	6	0
공산당	34	24	21	22	6	1	2	0	9	0	10	19	3	0	3	1	5	0	2	2	2	0	0	1
광장	24	7	48	15	4	15	9	9	0	7	5	4	9	23	2	4	0	8	8	4	2	0	17	0
미국	26	40	24	17	13	5	4	0	7	0	1	0	1	10	5	5	7	4	2	3	8	1	16	12
사건	43	10	16	13	12	9	3	10	5	1	0	2	1	3	9	5	3	0	3	3	3	2	1	10
자오쯔양	14	11	11	8	3	0	0	19	4	0	2	0	1	0	0	0	2	0	3	2	0	0	0	0
함께	8	4	4	4	1	2	4	3	9	1	1	1	0	0	0	1	2	5	0	1	1	0	1	1
세계	5	7	4	1	3	1	5	0	23	10	3	0	0	0	1	0	1	3	2	0	2	0	19	1
이번	12	24	13	7	2	4	2	3	2	5	9	0	0	1	0	1	1	3	0	2	3	0	0	0
류샤오보	28	7	23	27	7	3	1	1	4	5	5	0	1	0	1	0	12	0	1	5	0	19	0	17
민주화운동	15	5	7	41	2	8	0	5	0	7	3	2	2	1	1	12	0	0	0	1	2	3	1	6
열병식	0	0	0	0	0	0	15	0	8	4	0	0	5	3	3	0	0	0	0	0	0	0	14	0
다시	5	7	4	3	1	2	0	2	8	2	3	3	0	2	0	1	0	0	0	0	0	1	0	3
민주화시위	20	3	37	32	4	9	0	2	4	3	3	2	1	0	2	5	1	0	0	0	8	2	0	2
유혈진압	19	4	33	17	2	14	1	2	2	8	3	0	1	2	3	0	2	0	0	8	0	0	1	0
노벨평화상	6	0	5	8	0	0	0	0	0	1	2	0	0	0	0	19	3	0	1	2	0	0	0	7
전쟁	1	3	0	2	1	0	6	0	17	16	1	0	1	19	0	0	1	14	0	0	1	0	0	1
인권	20	24	20	19	6	6	0	1	0	12	10	0	1	1	0	17	6	0	3	2	0	7	1	0
